relative_path,folder_platform,adapter_platform,status,file_status,sheet_statuses,parsed_rows,default_feed_rows,title_present_rows,amount_rule_status,s2_amount_policy_locked,s2_gate,blocking_messages,warning_messages,columns,feed_columns,error
조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx,조아라,조아라,schema_pass,include,작품별 정산리스트_2026-2:parsed:111,111,111,111,needs_derived_sale_policy,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx,조아라,조아라,schema_pass,include,후원쿠폰-작품별 정산_2026-2:parsed:1,1,1,1,needs_derived_sale_policy,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx,카카오,카카오,schema_pass,include,정산리포트_카카오페이지_2026-02:parsed:1457,1457,1457,1457,needs_tax_policy,False,과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx,카카오,카카오,schema_pass,include,정산리포트_카카오페이지_2026-02:parsed:395,395,395,395,needs_tax_policy,False,과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
큐툰\2월\2026년 2월 큐툰 정산상세.xlsx,큐툰,큐툰,schema_pass,include,Sheet:parsed:25,25,25,25,needs_coin_policy,False,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx,토스(구루컴퍼니),토스(구루컴퍼니),schema_pass,include,정산_공급사_202602:parsed:45,45,45,45,needs_tax_split_policy,False,면세/과세 합산 기준 확정 후 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 면세/과세 합산 기준 확정 후 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
판무림\2월\2026년 2월 판무림 정산상세.xlsx,판무림,판무림,schema_pass,include,표지:excluded_sheet:0 | 세부내역:parsed:3331,3331,3331,3331,needs_contextual_amount_policy,False,상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx,피우리(누온),피우리(누온),schema_pass,include,Worksheet:parsed:25,25,25,25,candidate_confirmed_after_reconcile,True,대표월 fixture + 판매가/매출액 기준 확인 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx,피플앤스토리,피플앤스토리,schema_pass,include,다운로드:parsed:4,4,4,4,candidate_confirmed_after_reconcile,True,샘플 행 적음. 다른 월 1개 추가 fixture 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
하이북\2월\2026년 2월 하이북 정산상세.xlsx,하이북,하이북,schema_pass,include,정산리스트:parsed:355,355,355,355,needs_purchase_rental_policy,False,구매/대여 합산 단위 확정 후 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 구매/대여 합산 단위 확정 후 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
한아름\2월\2026년 2월 한아름 정산상세.xlsx,한아름,한아름,schema_pass,include,Sheet1:parsed:9253,9253,9253,9253,needs_section_policy,False,구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
