판단유형,판매채널,정제키,행수,원문예시,파일예시,필요한판단
S2 신규/진짜없음 판단,리디북스(소설),보이즈돈크라이,1,[e북]보이즈 돈 크라이 (Boys don't cry) 1권,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),유령의노래,1,[e북]유령의 노래,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,모픽(mofic),망한세상에서나혼자각성,1,망한 세상에서 나 혼자 각성,2026-02__모픽(mofic)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,모픽(mofic),사이코패스살인마는살고싶다,1,사이코패스 살인마는 살고 싶다,2026-02__모픽(mofic)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,모픽(mofic),줍고보니괴담백서,1,줍고보니 괴담 백서,2026-02__모픽(mofic)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),검,1,검(劍),2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),검웅영제,1,검웅영제(무삭제 개정판),2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),구룡겁,1,구룡겁,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),다따먹점혈법,1,다따먹점혈법,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),보수적이라며팬티는왜벗어,1,보수적이라며 팬티는 왜 벗어,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),삼랑소,1,삼랑소,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),천마겁,1,천마겁(무삭제본),2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),천의역근참수기,1,천의역근참수기,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),칠기무제,1,칠기무제(무삭제 개정판),2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),칠색무,1,칠색무,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),혈무연,1,혈무연,2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,문피아,ex급만능사제가되었다,1,EX급 만능사제가 되었다,2026-02__문피아__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,문피아,다따먹점혈법,1,다따먹점혈법,2026-02__문피아__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,문피아,독식하는재벌세,1,독식하는 재벌 3세 [D],2026-02__문피아__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미소설,검웅영제,1,검웅영제 (무삭제 개정판),2026-02__미소설__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미소설,다따먹점혈법,1,다따먹점혈법,2026-02__미소설__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미소설,독식하는재벌세,1,독식하는 재벌 3세,2026-02__미소설__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미소설,보수적이라며팬티는왜벗어,1,보수적이라며 팬티는 왜 벗어?,2026-02__미소설__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미소설,칠기무제,1,칠기무제 (무삭제 개정판),2026-02__미소설__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),ex급만능사제가되었다,1,EX급 만능사제가 되었다,2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),lust,1,LUST [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),sm클럽암캐가된여자들,1,SM클럽 -암캐가 된 여자들-,2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),검,1,검 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),검은달의전설,1,검은 달의 전설 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),검혼무,1,검혼무 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),고검기,1,고검기 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),고검사우객,1,고검사우객 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),관능소설구멍,1,관능소설-구멍 (무삭제판) [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),광혈사혼무,1,광혈사혼무 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),군,1,군 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),그여자의숲,1,그 여자의 숲 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),금검지,1,금검지 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),금황,1,금황 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),나쁜며느리,1,나쁜 며느리 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),낙하산과클레오파트라,1,낙하산과 클레오파트라 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),냉홍검,1,냉홍검 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),뇌신혈,1,뇌신혈 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),뇌전왕,1,뇌전왕 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),다따먹점혈법,1,다따먹점혈법,2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),달이가득차오를때,1,달이 가득 차오를 때 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),대도란,1,대도란 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),대상천하,1,대상천하 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),더씨,1,더 씨 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),더히어로즈,1,더 히어로즈 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),도광사,1,도광사 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),독검,1,독검 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),마황,1,마황 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),만약에,1,만약에 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),무림귀공자,1,무림귀공자 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),무림성,1,무림성 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),무상검,1,무상검 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),무심결,1,무심결 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),무유지,1,무유지 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),밀풍대문,1,밀풍대문 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),바람난아내,1,바람난 아내 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),백팔금수권,1,백팔금수권 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),보수적이라며팬티는왜벗어,1,보수적이라며 팬티는 왜 벗어?,2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),비정혈루,1,비정혈루 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),사풍반사생,1,사풍반사생 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),소야,1,소야 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),신초류향,1,신 초류향 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),신협,1,신협 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),십교종사,1,십교종사 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),열풍,1,열풍[무삭제판] [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),옷깃인연,1,옷깃인연 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),용병왕패러렐월드,1,용병왕 패러렐월드 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),운명을거부하는여자,1,운명을 거부하는 여자 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),유견추월심망연,1,유견추월심망연 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),절대마조,1,절대마조 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),절대쌍웅,1,절대쌍웅 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),제세성존,1,제세성존 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),중력술사아스께기맨,1,중력술사 아스께기맨,2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),중원지,1,중원지 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),천마옥,1,천마옥 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),천산뇌신,1,천산뇌신 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),천원만리추,1,천원만리추 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),천의역근참수기,1,천의역근참수기 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),치우검,1,치우검 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),칠색무,1,칠색무 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),쾌도낭자,1,쾌도낭자 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),타루폰카라얀,1,타루폰카라얀 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),태양천자,1,태양천자 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),팔황예조,1,팔황예조 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),혈무연,1,혈무연 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),혈안은구,1,혈안은구 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,북큐브(소설),다따먹점혈법,1,다따먹점혈법,2026-02__북큐브(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,북큐브(소설),플레이싱어느대공각하의장난감,1,플레이싱 (Plaything) : 어느 대공 각하의 장난감 1,2026-02__북큐브(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,북팔(소설),메소드로맨스증보판,1,메소드 로맨스 외전증보판,2026-02__북팔(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,블라이스_일반결제,sm클럽암캐가된여자들,1,SM클럽 -암캐가 된 여자들-,2026-02__블라이스_일반결제__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,블라이스_일반결제,다따먹점혈법,1,다따먹점혈법,2026-02__블라이스_일반결제__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,올툰(소설),메소드로맨스증보판,1,[BL소설]메소드 로맨스 외전증보판,2026-02__올툰(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),누나와김병장,1,누나와 김병장,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),모녀의외도,1,모녀의 외도,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),무유지,1,무유지,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),묻지마관광윤간사건,1,묻지마관광 윤간사건,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
